Finding,Assignee,Status,CSP,Severity,Tier,EnvType,EnvFriendlyName,EnvId,CreatedTime,FindingId,FindingIdShort,Region,ExecutionTeam,EstEffort,Tags
Account does not have AWS config enabled in the region,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-12-08,arn:aws:fms:us-west-1:696796209136:finding/187f100a-c095-42c0-b27f-f01ed43ac34a/187f100a-c095-42c0-b27f-f01ed43ac34a,187f100a-c09,us-west-1,CCoE,1.0,Software and Configuration Checks/Firewall Manager Policies
4.3 Ensure the default security group of every VPC restricts all traffic,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-12-09,arn:aws:securityhub:us-west-2:696796209136:subscription/cis-aws-foundations-benchmark/v/1.2.0/4.3/finding/1cf31478-a84c-4a55-92b6-6efdc5dcc172,1cf31478-a84,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark
EC2.2 VPC default security groups should not allow inbound or outbound traffic,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-12-09,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.2/finding/112cf333-7d21-445d-92c3-0f61d7d1c54a,112cf333-7d2,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.8 EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.8/finding/6b15b043-64de-4cae-8cad-b58979150ab5,6b15b043-64d,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.8 EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.8/finding/657c6ee6-7d19-45bd-a0cb-ca94ed708c05,657c6ee6-7d1,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.8 EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.8/finding/5354aa0b-3feb-426b-b64e-fb64381b2f93,5354aa0b-3fe,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.8 EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.8/finding/461bec38-7d50-4428-a328-a1085dc70fe4,461bec38-7d5,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.8 EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.8/finding/380062a3-787f-4e36-b555-eeb59e61249f,380062a3-787,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.8 EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.8/finding/b549b2f3-fa51-40cb-adb9-711b294ceda3,b549b2f3-fa5,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/31546387-f83f-4b0e-bd40-5d7e05a7aed4,31546387-f83,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
SSM.2 EC2 instances managed by Systems Manager should have a patch compliance status of COMPLIANT after a patch installation,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/SSM.2/finding/ec850246-5fe5-4ba0-a59c-a53078ff46cb,ec850246-5fe,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
